website,load_time,seo_score,traffic,bounce_rate
site1.com,2.1,88,15000,42
site2.com,3.8,72,9800,58
site3.com,4.5,60,8700,70
site4.com,1.9,92,21000,35
site5.com,2.7,80,13200,48
site6.com,5.2,55,7600,75
site7.com,3.1,78,11000,52
site8.com,2.3,85,14000,44
site9.com,4.8,62,9200,68
site10.com,1.7,95,25000,30
site11.com,3.5,74,10500,55
site12.com,2.9,82,12500,47
site13.com,4.1,66,8900,65
site14.com,2.0,90,18000,38
site15.com,3.3,76,9900,53
site16.com,5.5,50,7000,78
site17.com,2.6,83,13500,46
site18.com,3.9,70,9500,60
site19.com,1.8,93,22000,33
site20.com,4.3,64,8800,67
site21.com,2.4,86,14500,43
site22.com,3.7,73,10200,57
site23.com,5.0,58,7900,72
site24.com,2.2,89,16000,41
site25.com,3.0,79,11500,50
